mp_id,formula,natom_prim,u2_0K_A2,u2_300K_A2,d_min_A,delta_nuc_300K,q300
1818,SiF4,5,0.00838158539153274,0.20438230530520027,1.5766018595620013,0.08222411816726174,0.041009349508102845
1819,SbO2,12,0.0024748777769713157,0.006336833658075591,1.9894729115132124,0.0016010181178710207,0.3905543226335694
1820,YbS,2,0.0018133069629743537,0.006946225057761654,2.77715332,0.000900635656407531,0.26104926746480517
1821,WSe2,6,0.0011625482822254013,0.006636588112172627,2.5255620425143706,0.0010404681278333818,0.17517258304656436
1840,TiO2,24,0.002578056999544496,0.005432845225611206,1.8610347269877623,0.0015686222770726211,0.4745316482404409
1853,Sr3P14,34,0.0030798862264251243,0.01613505724277878,2.1559053989502215,0.003471451565739928,0.1908816423817475
1858,HfO2,24,0.0019620322139020227,0.00384586142559688,2.034933438675265,0.0009287379992322662,0.510167163289695
1863,SiAs,12,0.0023387237539160117,0.014995924355294985,2.3327552704792094,0.002755718694119293,0.1559572920284984
1873,ZnF2,6,0.0033371210072985127,0.010781288467209119,2.028438362173683,0.002620275978734977,0.30952896005410113
1875,TeF6,28,0.008440991616275659,0.24022237161484364,1.8517125857339878,0.07005938061645586,0.03513824112022912
1880,SbF3,8,0.0047999077245021,0.027159377370436517,1.9905023410841072,0.0068547942553062085,0.17673114000495785
1888,RbGe,64,0.003153390231856379,0.028636738559768293,2.5623072814771035,0.0043617536495269135,0.11011694733584543
1943,GaSe,8,0.0020695942729843635,0.01434153723951368,2.4274031734781,0.002433951243030174,0.14430770135869642
1950,SrS2,6,0.002730325682646068,0.0109680081659052,2.1087140124581083,0.0024665640490744755,0.24893541665418076
1958,SrTe,2,0.0019381866709288892,0.012664932104917414,3.3074592,0.001157747561268309,0.15303569374654202
1960,Li2O,3,0.0049653099399878785,0.008009413592207885,1.9819867350302804,0.0020389155280467145,0.6199342664509768
1968,La2O3,5,0.002792701883505324,0.008436404964429522,2.347786926612282,0.001530523698750176,0.33102985161098997
1986,ZnO,2,0.0023851329088914563,0.006965617505356343,1.9741447797362177,0.0017873171530217505,0.34241514224077957
1990,Mg3As2,40,0.003076206816966705,0.011883019435665502,2.602808171621452,0.001754052081548429,0.25887417197466056
1999,Sb2O3,20,0.0030075288137304855,0.023788705132517043,2.006014612214594,0.00591156703626342,0.12642675576399748
2030,RuS2,12,0.001360544999541632,0.0027647655902523914,2.194661806857492,0.0005740148185142933,0.4921013934557214
2063,Pr2O3,5,0.002544494705804657,0.0074005221495793356,2.322381276992957,0.00137213018925121,0.3438263752712763
2068,RhF3,8,0.002778794633482271,0.00821949382229089,1.9770683801748006,0.0021028180327148146,0.3380736932907362
2072,KTe,8,0.003923067731980229,0.03700062675259911,2.814068540056015,0.004672397023938402,0.10602706160118362
2074,Li3Sb,4,0.007910682041806148,0.0224991526857157,2.8094564626716303,0.0028505033140962424,0.3515991091890538
2079,Rb2P3,10,0.003929529908279609,0.029130997742548823,2.1578192066550743,0.006256410708958031,0.13489170343589452
2084,Si5Ir3,64,0.0015139971691508205,0.003714347883557042,2.332052623243097,0.0006829766952249811,0.40760779997293695
2095,Rb2Te3,20,0.002674770064697365,0.03215680180795554,3.0425325675588977,0.003473780537719539,0.08317898280654362
2097,SnO,4,0.0025427114982932114,0.011446880557173926,2.2271097416354424,0.0023078305392780296,0.22213139078311228
2125,TeO2,24,0.0031084935881296977,0.021778095728203644,1.9302720941051161,0.0058449774258657675,0.14273486657991197
2131,SrN6,14,0.004680671718998182,0.016942417766639822,1.1803677068943528,0.012160200835123001,0.2762694075584996
2133,ZnO,4,0.002422857174190157,0.007635864873902706,1.973425341799869,0.0019607256605055734,0.3172996398182502
2136,Sb2O3,20,0.0029438181728514853,0.013353881802465994,2.010194631721172,0.0033046944431677815,0.22044662491380335
2139,BaGe2,24,0.002181798156842967,0.014751058773473543,2.54575424467796,0.002276094242791183,0.14790790209353918
2146,KGe,64,0.0038715351077669817,0.026887104723364193,2.561339636309539,0.004098356170328634,0.1439922649761065
2160,Sb2Se3,20,0.0021588688575253545,0.030217292459512737,2.6330893211386646,0.004358372688903857,0.07144481460137303
2172,AlAs,2,0.0022987796201143895,0.008817061655717537,2.4553058440411166,0.0014625566023172328,0.2607194675364118
2173,P2O5,28,0.0032012198607163454,0.010007359657582073,1.4522340464763537,0.004745109948179693,0.31988656051658365
2175,TlF,2,0.005214783300616764,0.07132178041606661,2.75895607,0.009369849283426372,0.07311628047134439
2176,ZnTe,2,0.002023350848451472,0.013314849949990472,2.6263570719873948,0.0019303174387645308,0.15196197148679996
2184,As2O3,20,0.003166266072110305,0.038037692704627694,1.8125529798286304,0.011577978703316592,0.08324022428744987
2201,PbSe,2,0.0019398844194883941,0.01551518554806941,3.034074545,0.0016854057838710918,0.12503133871510666
2231,SnS,8,0.0025912301174134023,0.013972825992919035,2.6271393928066793,0.0020245011026604294,0.18544781984163775
2234,Er2S3,30,0.002032592801393859,0.00858976463782643,2.580027701261614,0.0012904242812199203,0.2366296268983908
2242,GeS,8,0.0026992472486178903,0.012837898828639735,2.4390435907246113,0.002158016816293199,0.21025615520479174
2245,Si3N4,28,0.002048894021647496,0.003595641783823635,1.7260329610574694,0.0012069193459092334,0.5698270697779815
2251,Li3N,4,0.007146363709141048,0.021785622276022057,1.92141363,0.00590103560676651,0.3280311950054583
2254,Al2O3,40,0.0022874134624883756,0.004682466741293542,1.7487521826896184,0.0015311514931918972,0.48850607785768757
2275,UF6,28,0.006991717228014456,0.10671481304995278,2.005450597628683,0.026533880681504283,0.06551777610050875
